_id,client_serial_no_id,isActive_db,client_id,optical_name1_db,client_name_db,address_1_db,district_db,state_db,country_db,pincode_db,mobile_1_db,mobile_2_db,mobile_3_db,email_1_db,email_2_db,followup_db,database_status_db,dumpBy_db,__v
688b59ebfc7f7b345626f60d,30,TRUE,C0000030,Ashish Optics,NA,Old Nagardas Road Andheri East,AKOLA,MAHARASHTRA,INDIA,NA,8898222226,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f60e,31,TRUE,C0000031,New Specto Eye Wear,NA,Bob Bon Lane Andheri West,AKOLA,MAHARASHTRA,INDIA,NA,9987534000,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f60f,32,TRUE,C0000032,Shah Optical Gallery,NA,Marol Military Road Andheri East,AKOLA,BIHAR,INDIA,NA,2228381509,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f610,33,TRUE,C0000033,Eye Care.,NA,Mahakali Caves Road Andheri East,AKOLA,BIHAR,INDIA,NA,9870089395,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f611,34,TRUE,C0000034,Drishya Optics,NA,M G Road Ghatkopar East,AKOLA,UTTAR PRADESH,INDIA,NA,9833056278,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f612,35,TRUE,C0000035,Sajal Nayan Opticians,NA,Gopal Lane Ghatkopar West,AKOLA,MADHYA PRADESH,INDIA,NA,9867856444,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f613,36,TRUE,C0000036,M.i. Optics,NA,Andheri Kurla Road Andheri East,AKOLA,MAHARASHTRA,INDIA,NA,9867813381,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f614,37,TRUE,C0000037,Marol Eye Care,NA,Jijamata Road Andheri East,AKOLA,MAHARASHTRA,INDIA,NA,8451806061,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f615,38,TRUE,C0000038,Dev Optics,NA,Tata Nagar Govandi West,AKOLA,MAHARASHTRA,INDIA,NA,2223010632,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f616,39,TRUE,C0000039,Scale Optical,NA,Marol Maroshi Road Andheri East,AKOLA,MAHARASHTRA,INDIA,NA,9920800562,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f617,40,TRUE,C0000040,President Insight,NA,Tardeo Road Tardeo,AKOLA,MAHARASHTRA,INDIA,NA,9619353144,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f618,41,TRUE,C0000041,Rashtriya Optics,NA,Station Road Goregaon East,AKOLA,UTTAR PRADESH,INDIA,NA,9820236048,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f619,42,TRUE,C0000042,Gokul Optics,NA,August Kranti Marg Warden Road,AKOLA,BIHAR,INDIA,NA,7039710256,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61a,43,TRUE,C0000043,Kulkarni Brothers Opticians,NA,Nagpada-Mumbai Central,AKOLA,BIHAR,INDIA,NA,9082816581,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61b,44,TRUE,C0000044,New Starlite Optiks,NA,Opp Bata Showroom Goregaon East,AKOLA,UTTAR PRADESH,INDIA,NA,2223823980,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61c,45,TRUE,C0000045,Netrodaya Opticians & Contact Lens Clinic,NA,Khotachiwadi-charni Road,AKOLA,MADHYA PRADESH,INDIA,NA,2223863920,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61d,46,TRUE,C0000046,Sai Opticians,NA,Powai,AKOLA,MAHARASHTRA,INDIA,NA,9699518315,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61e,47,TRUE,C0000047,P Homi Co Optician Contact Lens Clinic,NA,L B S Marg Ghatkopar West,AKOLA,MAHARASHTRA,INDIA,NA,9820835457,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f61f,48,TRUE,C0000048,Pure Vision,NA,Opposite IIT Main Gate Powai,AKOLA,MAHARASHTRA,INDIA,NA,9892971499,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f620,49,TRUE,C0000049,Maaz Optics,NA,Rammohan Roy Road Grant Road,AKOLA,BIHAR,INDIA,NA,9820486780,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f621,50,TRUE,C0000050,Niocon Optics,NA,Prathna Samaj Road Girgaon,AKOLA,BIHAR,INDIA,NA,9136601114,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f622,51,TRUE,C0000051,Amrut Optics,NA,M G Road Goregaon West,AKOLA,UTTAR PRADESH,INDIA,NA,2228806735,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f623,52,TRUE,C0000052,Shri Bhumika Optics,NA,J S S Road Girgaon,AKOLA,MADHYA PRADESH,INDIA,NA,7700037755,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f624,53,TRUE,C0000053,3rd Eye Opticals (Infiniti Mall),NA,Kalbadevi Road Kalbadevi,AKOLA,MAHARASHTRA,INDIA,NA,8828189800,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f625,54,TRUE,C0000054,Eye Vision,NA,Station Road Goregaon East,AKOLA,MAHARASHTRA,INDIA,NA,7715900039,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f626,55,TRUE,C0000055,Nitin Eye Lens,NA,Shop 3 /25 Vikhroli East,AKOLA,MAHARASHTRA,INDIA,NA,8355872830,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f627,56,TRUE,C0000056,Nishya Optics,NA,Link Road Malad West,AKOLA,BIHAR,INDIA,NA,2242950425,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f628,57,TRUE,C0000057,Desai Opticians,NA,Rani Sati Marg Malad East,AKOLA,BIHAR,INDIA,NA,8779664024,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f629,58,TRUE,C0000058,Trimurti Watch & Opticals,NA,Mamlatdarwadi Malad West,AKOLA,UTTAR PRADESH,INDIA,NA,9820083770,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f62a,59,TRUE,C0000059,Aksh Optics & Contact Lens Clini,NA,Jawaharlal Nehru Road Mulund,AKOLA,MADHYA PRADESH,INDIA,NA,9322704339,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f62b,60,TRUE,C0000060,Shreeya Optics,NA,L B S Marg Bhandup West,AKOLA,MAHARASHTRA,INDIA,NA,9082921614,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f62c,61,TRUE,C0000061,Optical Plus,NA,Naka Road Kandivali West,AKOLA,MAHARASHTRA,INDIA,NA,8108777768,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f62d,62,TRUE,C0000062,Insure Eye Institute,NA,S V Road Malad West,AKOLA,MAHARASHTRA,INDIA,NA,9324999942,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f62e,63,TRUE,C0000063,Pravin Optics,NA,Kandivali West,AKOLA,BIHAR,INDIA,NA,2227552425,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f62f,64,TRUE,C0000064,Optic World,NA,Mathuradas Road Kandivali West,AKOLA,BIHAR,INDIA,NA,9819354570,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f630,65,TRUE,C0000065,Sai Optix,NA,Evershine Nagar Malad West,AKOLA,UTTAR PRADESH,INDIA,NA,9821994554,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f631,66,TRUE,C0000066,Nigahen Opticians,NA,Netaji Subhash Road Mulund West,AKOLA,MADHYA PRADESH,INDIA,NA,9029133310,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f632,67,TRUE,C0000067,Exact Opticians,NA,Vashi,AKOLA,MAHARASHTRA,INDIA,NA,9820482863,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f633,68,TRUE,C0000068,Ashish Eye Care,NA,Kopar Khairane,AKOLA,MAHARASHTRA,INDIA,NA,7777028206,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f634,69,TRUE,C0000069,Kanhan Opticians,NA,Thakur Complex-Kandivali East,AKOLA,MAHARASHTRA,INDIA,NA,9372339797,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f635,70,TRUE,C0000070,Deshmukh Opticians,NA,Sanpada Sanpada Sector 16,AKOLA,BIHAR,INDIA,NA,2225604167,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f636,71,TRUE,C0000071,Shrinath Optics,NA,Sector-20 Nerul,AKOLA,BIHAR,INDIA,NA,2228700262,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f637,72,TRUE,C0000072,Vision Plus Opticals,NA,suvidhya school Borivali West,AKOLA,UTTAR PRADESH,INDIA,NA,9820630988,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f638,73,TRUE,C0000073,Eye Site Optical,NA,Chikuwadi Borivali West,AKOLA,MADHYA PRADESH,INDIA,NA,8104131956,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f639,74,TRUE,C0000074,Eyespaa Optic,NA,Thakur Complex Kandivali East,AKOLA,MAHARASHTRA,INDIA,NA,9967867663,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f63a,75,TRUE,C0000075,Crystal Eye,NA,Mulund Colony-Mulund West,AKOLA,MAHARASHTRA,INDIA,NA,9082320678,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f63b,76,TRUE,C0000076,Padmalochan Eye Care,NA,Dattapada Road Borivali East,AKOLA,MAHARASHTRA,INDIA,NA,9969476787,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f63c,77,TRUE,C0000077,Hiral Optics,NA,Mahavir Nagar Kandivali West,AKOLA,MAHARASHTRA,INDIA,NA,7738717192,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f63d,78,TRUE,C0000078,Bright Opticians,NA,Sector-11 Nerul,AKOLA,MAHARASHTRA,INDIA,NA,9930147249,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f63e,79,TRUE,C0000079,Kurkarni Co. Opticians,NA,Sanpada Sanpada Sector 5,AKOLA,UTTAR PRADESH,INDIA,NA,9969751791,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f63f,80,TRUE,C0000080,Vijay Opticians,NA,LBS Road Thane West,AKOLA,BIHAR,INDIA,NA,2265292247,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f640,81,TRUE,C0000081,Eyemax Opticals,NA,Hill Road Bandra West,AKOLA,MAHARASHTRA,INDIA,NA,9221373189,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f641,82,TRUE,C0000082,Specs N Shades,NA,Pali Road Bandra West,AKOLA,MAHARASHTRA,INDIA,NA,9819021021,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f642,83,TRUE,C0000083,Sham Opticians,NA,Goverment Colony Bandra East,AKOLA,UTTAR PRADESH,INDIA,NA,8080257099,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f643,84,TRUE,C0000084,Chheda Optical Mart,NA,L.N Road Matunga East,AKOLA,BIHAR,INDIA,NA,9867479728,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f644,85,TRUE,C0000085,Owndays INDIA Pvt. Ltd.,NA,Senapati Bapat Marg,AKOLA,BIHAR,INDIA,NA,9892889793,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f645,86,TRUE,C0000086,Silver Opticians,NA,Veer Sawarkar Marg Prabhadevi,AKOLA,UTTAR PRADESH,INDIA,NA,9820421195,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f646,87,TRUE,C0000087,Shah Vision Express,NA,Juhu Road Santacruz West,AKOLA,MADHYA PRADESH,INDIA,NA,2226283981,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f647,88,TRUE,C0000088,Disha Optics,NA,90 Feet Road Dharavi,AKOLA,MAHARASHTRA,INDIA,NA,9820057780,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f648,89,TRUE,C0000089,Dabholkar & Sons,NA,Ranade Road Dadar West,AKOLA,MAHARASHTRA,INDIA,NA,2226236767,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f649,90,TRUE,C0000090,R N Shinde & Sons,NA,N C Kelkar Road Dadar West,AKOLA,MAHARASHTRA,INDIA,NA,8355832396,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f64a,91,TRUE,C0000091,New Popular Optical Stores,NA,S V Road Andheri West,AKOLA,BIHAR,INDIA,NA,9820330055,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f64b,92,TRUE,C0000092,Classic Vision,NA,M G Road Vile Parle East,AKOLA,BIHAR,INDIA,NA,9594610038,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f64c,93,TRUE,C0000093,Perfect Vision,NA,Dadabhai Road Vile Parle West,AKOLA,UTTAR PRADESH,INDIA,NA,8097969705,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f64d,94,TRUE,C0000094,Lotus Optical,NA,C D Barfiwala Road Andheri West,AKOLA,MADHYA PRADESH,INDIA,NA,8108481866,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f64e,95,TRUE,C0000095,Eye Contact Optician,NA,Saheb Ambedkar Road Lal Baug,AKOLA,MAHARASHTRA,INDIA,NA,9821660852,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f64f,96,TRUE,C0000096,New Eye Trend,NA,Senapati Bapat Marg Lower Parel,AKOLA,MAHARASHTRA,INDIA,NA,9221215085,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f650,97,TRUE,C0000097,Alfa Optician,NA,Station Road Chembur East,AKOLA,MAHARASHTRA,INDIA,NA,2224124518,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f651,98,TRUE,C0000098,Deepak Opticians,NA,LBS Road Kurla West,AKOLA,BIHAR,INDIA,NA,2226125660,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f652,99,TRUE,C0000099,Amruta Optician,NA,Chembur Colony-Chembur East,AKOLA,BIHAR,INDIA,NA,9867532742,,,,,,raw_db,SA_1753962940616,0
688b59ebfc7f7b345626f653,100,TRUE,C0000100,Puranik & Sons,NA,Lower Parel ) Chinchpokli,AKOLA,UTTAR PRADESH,INDIA,NA,9619927279,,,,,,raw_db,SA_1753962940616,0
